Original,Slide,Encripted
bet,1,cfu
unbearable,1,vocfbsbcmf
sides,1,tjeft
trenches,1,usfodift
thus,1,uivt
box,1,cpy
horror,1,ipssps
needs,1,offet
miles,1,njmft
shrink,1,tisjol
looked,1,mpplfe
regiment,1,sfhjnfou
beardsthey,1,cfbsetuifz
whether,1,xifuifs
arm,1,bsn
disturbed,1,ejtuvscfe
leapt,1,mfbqu
per,1,qfs
falls,1,gbmmt
course,1,dpvstf
worse,1,xpstf
home,1,ipnf
provisions,1,qspwjtjpot
runs,1,svot
canal,1,dbobm
hauled,1,ibvmfe
haie,1,ibjf
bag,1,cbh
glass,1,hmbtt
keep,1,lffq
gallop,1,hbmmpq
grumbled,1,hsvncmfe
burial,1,cvsjbm
blankets,1,cmbolfut
smashes,1,tnbtift
pay,1,qbz
billet,1,cjmmfu
men,1,nfo
machineguns,1,nbdijofhvot
peasant,1,qfbtbou
task,1,ubtl
frying,1,gszjoh
moderate,1,npefsbuf
differently,1,ejggfsfoumz
forms,1,gpsnt
stateif,1,tubufjg
pains,1,qbjot
leaning,1,mfbojoh
topsmouldy,1,upqtnpvmez
wheels,1,xiffmt
thishere,1,uijtifsf
going,1,hpjoh
happy,1,ibqqz
reassured,1,sfbttvsfe
ladle,1,mbemf
unceasing,1,vodfbtjoh
flowing,1,gmpxjoh
never,1,ofwfs
doctors,1,epdupst
crawl,1,dsbxm
backs,1,cbdlt
best,1,cftu
dare,1,ebsf
hut,1,ivu
rejoice,1,sfkpjdf
presence,1,qsftfodf
suede,1,tvfef
gave,1,hbwf
machinegunfire,1,nbdijofhvogjsf
smothered,1,tnpuifsfe
emperors,1,fnqfspst
louder,1,mpvefs
sweeps,1,txffqt
herself,1,ifstfmg
finishes,1,gjojtift
stretch,1,tusfudi
visitors,1,wjtjupst
bitterly,1,cjuufsmz
bowl,1,cpxm
sprawl,1,tqsbxm
muffled,1,nvggmfe
barbedwire,1,cbscfexjsf
morning,1,npsojoh
fat,1,gbu
dozen,1,epafo
splinters,1,tqmjoufst
been,1,cffo
knives,1,lojwft
beats,1,cfbut
summer,1,tvnnfs
station,1,tubujpo
mumbling,1,nvncmjoh
ours,1,pvst
twelve,1,uxfmwf
inviting,1,jowjujoh
exasperate,1,fybtqfsbuf
sticky,1,tujdlz
bounces,1,cpvodft
badly,1,cbemz
limp,1,mjnq
town,1,upxo
crowd,1,dspxe
direction,1,ejsfdujpo
cunning,1,dvoojoh
gathered,1,hbuifsfe
go,1,hp
fearful,1,gfbsgvm
great,1,hsfbu
ago,1,bhp
parachute,1,qbsbdivuf
buried,1,cvsjfe
crime,1,dsjnf
furrows,1,gvsspxt
thatturnips,1,uibuuvsojqt
attempt,1,buufnqu
noon,1,oppo
hindenburg,1,ijoefocvsh
scatter,1,tdbuufs
evening,1,fwfojoh
dances,1,ebodft
conscience,1,dpotdjfodf
sometimes,1,tpnfujnft
distributes,1,ejtusjcvuft
quick,1,rvjdl
poles,1,qpmft
grins,1,hsjot
noncommissioned,1,opodpnnjttjpofe
six,1,tjy
calls,1,dbmmt
stars,1,tubst
gutz,1,hvua
separated,1,tfqbsbufe
outer,1,pvufs
doubt,1,epvcu
even,1,fwfo
glad,1,hmbe
allow,1,bmmpx
twentyfive,1,uxfouzgjwf
money,1,npofz
into,1,joup
dregs,1,esfht
confusion,1,dpogvtjpo
sobut,1,tpcvu
heads,1,ifbet
instrument,1,jotusvnfou
extraordinary,1,fyusbpsejobsz
seem,1,tffn
reason,1,sfbtpo
airs,1,bjst
rags,1,sbht
nap,1,obq
actually,1,bduvbmmz
review,1,sfwjfx
light,1,mjhiu
cheerful,1,diffsgvm
managed,1,nbobhfe
myself,1,nztfmg
feed,1,gffe
steps,1,tufqt
sink,1,tjol
stiff,1,tujgg
space,1,tqbdf
worthy,1,xpsuiz
curly,1,dvsmz
brings,1,csjoht
believing,1,cfmjfwjoh
squat,1,trvbu
shellholeswiftly,1,tifmmipmftxjgumz
drags,1,esbht
slink,1,tmjol
reinforcements,1,sfjogpsdfnfout
breath,1,csfbui
greedily,1,hsffejmz
themthey,1,uifnuifz
say,1,tbz
handful,1,iboegvm
has,1,ibt
risky,1,sjtlz
woods,1,xppet
goggle,1,hphhmf
wonder,1,xpoefs
marvelous,1,nbswfmpvt
near,1,ofbs
tone,1,upof
gang,1,hboh
annoyed,1,boopzfe
police,1,qpmjdf
when,1,xifo
airy,1,bjsz
doing,1,epjoh
blackhaired,1,cmbdlibjsfe
terms,1,ufsnt
feeling,1,gffmjoh
gets,1,hfut
musician,1,nvtjdjbo
made,1,nbef
helpless,1,ifmqmftt
obtuse,1,pcuvtf
meet,1,nffu
passing,1,qbttjoh
cursing,1,dvstjoh
lower,1,mpxfs
dash,1,ebti
steel,1,tuffm
empty,1,fnquz
blue,1,cmvf
sty,1,tuz
springs,1,tqsjoht
knowbeg,1,lopxcfh
know,1,lopx
touch,1,upvdi
opportunities,1,pqqpsuvojujft
demands,1,efnboet
overworked,1,pwfsxpslfe
snipers,1,tojqfst
fingers,1,gjohfst
decisioni,1,efdjtjpoj
messed,1,nfttfe
marching,1,nbsdijoh
bucket,1,cvdlfu
lasts,1,mbtut
for,1,gps
slammed,1,tmbnnfe
farthest,1,gbsuiftu
draw,1,esbx
conserves,1,dpotfswft
hearts,1,ifbsut
costs,1,dptut
growls,1,hspxmt
rising,1,sjtjoh
intoning,1,joupojoh
changes,1,dibohft
white,1,xijuf
choppingblock,1,dipqqjohcmpdl
longer,1,mpohfs
stay,1,tubz
control,1,dpouspm
round,1,spvoe
view,1,wjfx
more,1,npsf
receive,1,sfdfjwf
songs,1,tpoht
charge,1,dibshf
peacetime,1,qfbdfujnf
brotherly,1,cspuifsmz
aboutterror,1,bcpvuufssps
eh,1,fi
particular,1,qbsujdvmbs
knee,1,loff
directly,1,ejsfdumz
peel,1,qffm
bargain,1,cbshbjo
coverlets,1,dpwfsmfut
wake,1,xblf
sugar,1,tvhbs
industry,1,joevtusz
herr,1,ifss
volunteers,1,wpmvouffst
shuffle,1,tivggmf
buttoned,1,cvuupofe
boxes,1,cpyft
luxurious,1,mvyvsjpvt
inspector,1,jotqfdups
head,1,ifbe
probable,1,qspcbcmf
pour,1,qpvs
gulps,1,hvmqt
moors,1,nppst
survey,1,tvswfz
misery,1,njtfsz
foggy,1,gphhz
catch,1,dbudi
bristling,1,csjtumjoh
surgeon,1,tvshfpo
grim,1,hsjn
lively,1,mjwfmz
easily,1,fbtjmz
hiss,1,ijtt
disgusting,1,ejthvtujoh
rhythm,1,sizuin
bottle,1,cpuumf
idea,1,jefb
healthythen,1,ifbmuizuifo
went,1,xfou
plan,1,qmbo
notes,1,opuft
missing,1,njttjoh
left,1,mfgu
from,1,gspn
stop,1,tupq
insisted,1,jotjtufe
nevertheless,1,ofwfsuifmftt
slip,1,tmjq
share,1,tibsf
dying,1,ezjoh
we,1,xf
tossing,1,upttjoh
wasnt,1,xbtou
death,1,efbui
pair,1,qbjs
gasps,1,hbtqt
small,1,tnbmm
bound,1,cpvoe
devotion,1,efwpujpo
since,1,tjodf
done,1,epof
bring,1,csjoh
warm,1,xbsn
promise,1,qspnjtf
skulls,1,tlvmmt
license,1,mjdfotf
few,1,gfx
matteroffact,1,nbuufspggbdu
widely,1,xjefmz
muchterror,1,nvdiufssps
unnecessarily,1,voofdfttbsjmz
buttonhole,1,cvuupoipmf
pants,1,qbout
his,1,ijt
form,1,gpsn
me,1,nf
ditch,1,ejudi
slender,1,tmfoefs
bottom,1,cpuupn
organize,1,pshbojaf
pile,1,qjmf
contentment,1,dpoufounfou
nourishment,1,opvsjtinfou
instruments,1,jotusvnfout
unquestionable,1,vorvftujpobcmf
towards,1,upxbset
fund,1,gvoe
thought,1,uipvhiu
instructions,1,jotusvdujpot
feet,1,gffu
growl,1,hspxm
sundays,1,tvoebzt
peace,1,qfbdf
waken,1,xblfo
this,1,uijt
care,1,dbsf
built,1,cvjmu
alive,1,bmjwf
grimaces,1,hsjnbdft
pans,1,qbot
likelythat,1,mjlfmzuibu
wounds,1,xpvoet
thin,1,uijo
stretchers,1,tusfudifst
nose,1,optf
silk,1,tjml
lay,1,mbz
herbesthal,1,ifscftuibm
earnest,1,fbsoftu
becomes,1,cfdpnft
judging,1,kvehjoh
quite,1,rvjuf
consider,1,dpotjefs
innocently,1,joopdfoumz
spots,1,tqput
time,1,ujnf
hold,1,ipme
whip,1,xijq
restand,1,sftuboe
bow,1,cpx
strangely,1,tusbohfmz
dressing,1,esfttjoh
ease,1,fbtf
chloroform,1,dimpspgpsn
he,1,if
inquire,1,jorvjsf
roomout,1,sppnpvu
business,1,cvtjoftt
stock,1,tupdl
firestep,1,gjsftufq
goethes,1,hpfuift
steadily,1,tufbejmz
composed,1,dpnqptfe
stops,1,tupqt
strains,1,tusbjot
stoves,1,tupwft
everything,1,fwfszuijoh
concert,1,dpodfsu
tosses,1,upttft
thunders,1,uivoefst
invited,1,jowjufe
grey,1,hsfz
clean,1,dmfbo
soon,1,tppo
tunic,1,uvojd
nine,1,ojof
grass,1,hsbtt
concrete,1,dpodsfuf
gleam,1,hmfbn
lung,1,mvoh
nowwe,1,opxxf
fellow,1,gfmmpx
somewhere,1,tpnfxifsf
cold,1,dpme
chain,1,dibjo
yard,1,zbse
speck,1,tqfdl
scene,1,tdfof
fulldress,1,gvmmesftt
fourposter,1,gpvsqptufs
shoulder,1,tipvmefs
peeling,1,qffmjoh
meant,1,nfbou
powder,1,qpxefs
floods,1,gmppet
eight,1,fjhiu
nor,1,ops
smiles,1,tnjmft
max,1,nby
miserable,1,njtfsbcmf
month,1,npoui
wont,1,xpou
explain,1,fyqmbjo
throws,1,uispxt
chests,1,diftut
protected,1,qspufdufe
gropes,1,hspqft
laugh,1,mbvhi
haste,1,ibtuf
feelingly,1,gffmjohmz
whichever,1,xijdifwfs
dreadful,1,esfbegvm
list,1,mjtu
close,1,dmptf
germany,1,hfsnboz
grope,1,hspqf
sergeant,1,tfshfbou
minute,1,njovuf
two,1,uxp
slice,1,tmjdf
moustache,1,npvtubdif
necks,1,ofdlt
disappear,1,ejtbqqfbs
match,1,nbudi
periodically,1,qfsjpejdbmmz
meek,1,nffl
spoke,1,tqplf
walk,1,xbml
apostles,1,bqptumft
tighter,1,ujhiufs
sights,1,tjhiut
hunting,1,ivoujoh
distribution,1,ejtusjcvujpo
treat,1,usfbu
arms,1,bsnt
with,1,xjui
threshing,1,uisftijoh
bashful,1,cbtigvm
knifeready,1,lojgfsfbez
upset,1,vqtfu
chirps,1,dijsqt
shortly,1,tipsumz
hands,1,iboet
certainly,1,dfsubjomz
sort,1,tpsu
chocolate,1,dipdpmbuf
price,1,qsjdf
meditates,1,nfejubuft
troubles,1,uspvcmft
blood,1,cmppe
thatthe,1,uibuuif
stabs,1,tubct
lace,1,mbdf
pulling,1,qvmmjoh
shocking,1,tipdljoh
searches,1,tfbsdift
front,1,gspou
taking,1,ubljoh
divisions,1,ejwjtjpot
seizes,1,tfjaft
affairs,1,bggbjst
sniff,1,tojgg
soldiers,1,tpmejfst
midday,1,njeebz
throttling,1,uispuumjoh
hang,1,iboh
given,1,hjwfo
wirelessmen,1,xjsfmfttnfo
above,1,bcpwf
up,1,vq
stark,1,tubsl
fog,1,gph
birches,1,cjsdift
bread,1,csfbe
wonderfully,1,xpoefsgvmmz
offending,1,pggfoejoh
arrange,1,bssbohf
rescue,1,sftdvf
comfortably,1,dpngpsubcmz
reinforcementreservist,1,sfjogpsdfnfousftfswjtu
burden,1,cvsefo
cancer,1,dbodfs
birds,1,cjset
usagainst,1,vtbhbjotu
specially,1,tqfdjbmmz
how,1,ipx
bethink,1,cfuijol
sets,1,tfut
audible,1,bvejcmf
hollow,1,ipmmpx
trouble,1,uspvcmf
slowly,1,tmpxmz
offend,1,pggfoe
track,1,usbdl
move,1,npwf
force,1,gpsdf
dysentery,1,eztfoufsz
water,1,xbufs
belong,1,cfmpoh
motherliness,1,npuifsmjoftt
condemnation,1,dpoefnobujpo
practical,1,qsbdujdbm
mother,1,npuifs
convulses,1,dpowvmtft
discover,1,ejtdpwfs
mouthful,1,npvuigvm
sauce,1,tbvdf
food,1,gppe
shall,1,tibmm
kramer,1,lsbnfs
sunday,1,tvoebz
dares,1,ebsft
catholic,1,dbuipmjd
himself,1,ijntfmg
watching,1,xbudijoh
clink,1,dmjol
palmy,1,qbmnz
bar,1,cbs
march,1,nbsdi
absurdity,1,bctvsejuz
mighty,1,njhiuz
brought,1,cspvhiu
if,1,jg
tension,1,ufotjpo
loaves,1,mpbwft
our,1,pvs
starts,1,tubsut
discuss,1,ejtdvtt
stations,1,tubujpot
grasping,1,hsbtqjoh
pork,1,qpsl
wash,1,xbti
momentarily,1,npnfoubsjmz
heights,1,ifjhiut
back,1,cbdl
beyer,1,cfzfs
ask,1,btl
drawingroom,1,esbxjohsppn
mortal,1,npsubm
seven,1,tfwfo
teacosy,1,ufbdptz
animal,1,bojnbm
snowwhite,1,topxxijuf
faces,1,gbdft
net,1,ofu
darkperhaps,1,ebslqfsibqt
lot,1,mpu
wire,1,xjsf
yourself,1,zpvstfmg
by,1,cz
apathetic,1,bqbuifujd
tumble,1,uvncmf
whereas,1,xifsfbt
actions,1,bdujpot
meantime,1,nfboujnf
braini,1,csbjoj
young,1,zpvoh
doze,1,epaf
deer,1,effs
realize,1,sfbmjaf
hurry,1,ivssz
equal,1,frvbm
inside,1,jotjef
gleaming,1,hmfbnjoh
support,1,tvqqpsu
majority,1,nbkpsjuz
yesterday,1,zftufsebz
fatherland,1,gbuifsmboe
hungry,1,ivohsz
anything,1,bozuijoh
profit,1,qspgju
terror,1,ufssps
boiled,1,cpjmfe
read,1,sfbe
spot,1,tqpu
whistling,1,xijtumjoh
folk,1,gpml
side,1,tjef
frozen,1,gspafo
regular,1,sfhvmbs
vague,1,wbhvf
plaster,1,qmbtufs
expects,1,fyqfdut
their,1,uifjs
unusual,1,vovtvbm
ripped,1,sjqqfe
joke,1,kplf
provision,1,qspwjtjpo
bellow,1,cfmmpx
caution,1,dbvujpo
scars,1,tdbst
mind,1,njoe
uppish,1,vqqjti
bright,1,csjhiu
thirty,1,uijsuz
might,1,njhiu
shuddering,1,tiveefsjoh
habiteven,1,ibcjufwfo
batteries,1,cbuufsjft
floor,1,gmpps
leg,1,mfh
fresh,1,gsfti
ladyall,1,mbezbmm
commissariat,1,dpnnjttbsjbu
all,1,bmm
girl,1,hjsm
objects,1,pckfdut
none,1,opof
deal,1,efbm
properly,1,qspqfsmz
professors,1,qspgfttpst
tinned,1,ujoofe
figure,1,gjhvsf
gloomy,1,hmppnz
smokes,1,tnplft
supply,1,tvqqmz
lead,1,mfbe
attention,1,buufoujpo
here,1,ifsf
sheet,1,tiffu
houses,1,ipvtft
begs,1,cfht
brothel,1,cspuifm
thereit,1,uifsfju
pause,1,qbvtf
eyelids,1,fzfmjet
bubbles,1,cvccmft
feelings,1,gffmjoht
old,1,pme
favourite,1,gbwpvsjuf
habit,1,ibcju
unwashed,1,voxbtife
shrub,1,tisvc
wound,1,xpvoe
bury,1,cvsz
quiet,1,rvjfu
luisa,1,mvjtb
running,1,svoojoh
stood,1,tuppe
severest,1,tfwfsftu
explains,1,fyqmbjot
rocket,1,spdlfu
wolf,1,xpmg
exchange,1,fydibohf
him,1,ijn
subsides,1,tvctjeft
these,1,uiftf
locate,1,mpdbuf
much,1,nvdi
press,1,qsftt
listen,1,mjtufo
silent,1,tjmfou
involuntarily,1,jowpmvoubsjmz
distinction,1,ejtujodujpo
name,1,obnf
save,1,tbwf
furtively,1,gvsujwfmz
wage,1,xbhf
sergeantcook,1,tfshfboudppl
persists,1,qfstjtut
directions,1,ejsfdujpot
cigars,1,djhbst
millions,1,njmmjpot
amused,1,bnvtfe
quickly,1,rvjdlmz
enough,1,fopvhi
suppose,1,tvqqptf
turning,1,uvsojoh
got,1,hpu
set,1,tfu
tommy,1,upnnz
cracked,1,dsbdlfe
around,1,bspvoe
merely,1,nfsfmz
bellies,1,cfmmjft
getting,1,hfuujoh
happens,1,ibqqfot
wheat,1,xifbu
war,1,xbs
picking,1,qjdljoh
attemptthey,1,buufnquuifz
bellows,1,cfmmpxt
fellows,1,gfmmpxt
rear,1,sfbs
heave,1,ifbwf
anybody,1,bozcpez
hair,1,ibjs
gold,1,hpme
raise,1,sbjtf
entice,1,foujdf
desire,1,eftjsf
devastated,1,efwbtubufe
fetch,1,gfudi
break,1,csfbl
utter,1,vuufs
stab,1,tubc
queer,1,rvffs
level,1,mfwfm
assents,1,bttfout
badtemperedly,1,cbeufnqfsfemz
believe,1,cfmjfwf
glued,1,hmvfe
passes,1,qbttft
sky,1,tlz
cookhouse,1,dpplipvtf
years,1,zfbst
record,1,sfdpse
occurs,1,pddvst
detected,1,efufdufe
goods,1,hppet
staring,1,tubsjoh
either,1,fjuifs
scolded,1,tdpmefe
splinter,1,tqmjoufs
interrogation,1,joufssphbujpo
acting,1,bdujoh
extenuation,1,fyufovbujpo
charmed,1,dibsnfe
erect,1,fsfdu
sirnow,1,tjsopx
eleven,1,fmfwfo
cloud,1,dmpve
notwithstanding,1,opuxjuituboejoh
little,1,mjuumf
beneath,1,cfofbui
compelled,1,dpnqfmmfe
clanks,1,dmbolt
resolves,1,sftpmwft
same,1,tbnf
equally,1,frvbmmz
bent,1,cfou
pot,1,qpu
beech,1,cffdi
else,1,fmtf
skythen,1,tlzuifo
do,1,ep
baldaquin,1,cbmebrvjo
yet,1,zfu
slips,1,tmjqt
noise,1,opjtf
swine,1,txjof
chimney,1,dijnofz
examined,1,fybnjofe
love,1,mpwf
saved,1,tbwfe
cracks,1,dsbdlt
fourth,1,gpvsui
fragments,1,gsbhnfout
proceeds,1,qspdffet
across,1,bdsptt
sighs,1,tjhit
potato,1,qpubup
heightened,1,ifjhiufofe
kicks,1,ljdlt
leather,1,mfbuifs
dirty,1,ejsuz
wellknown,1,xfmmlopxo
sisters,1,tjtufst
entire,1,foujsf
caredwe,1,dbsfexf
prick,1,qsjdl
rings,1,sjoht
pretty,1,qsfuuz
past,1,qbtu
hideous,1,ijefpvt
disentanglement,1,ejtfoubohmfnfou
branches,1,csbodift
promised,1,qspnjtfe
covered,1,dpwfsfe
sausages,1,tbvtbhft
windows,1,xjoepxt
dies,1,ejft
breast,1,csfbtu
offwe,1,pggxf
things,1,uijoht
children,1,dijmesfo
blessed,1,cmfttfe
fare,1,gbsf
climb,1,dmjnc
disturbs,1,ejtuvsct
unsheltered,1,votifmufsfe
fulfil,1,gvmgjm
treats,1,usfbut
weep,1,xffq
lice,1,mjdf
escape,1,ftdbqf
icy,1,jdz
explosions,1,fyqmptjpot
josef,1,kptfg
tramps,1,usbnqt
letter,1,mfuufs
accompany,1,bddpnqboz
surgeons,1,tvshfpot
worry,1,xpssz
valenciennes,1,wbmfodjfooft
everlasting,1,fwfsmbtujoh
drink,1,esjol
provocation,1,qspwpdbujpo
franzs,1,gsboat
afford,1,bggpse
caught,1,dbvhiu
tremendous,1,usfnfoepvt
ourselves,1,pvstfmwft
damp,1,ebnq
killed,1,ljmmfe
memory,1,nfnpsz
transport,1,usbotqpsu
exhaustion,1,fyibvtujpo
pleased,1,qmfbtfe
devours,1,efwpvst
repulsed,1,sfqvmtfe
cellar,1,dfmmbs
ears,1,fbst
officers,1,pggjdfst
brunette,1,csvofuuf
sense,1,tfotf
bernard,1,cfsobse
laid,1,mbje
sand,1,tboe
girls,1,hjsmt
shattered,1,tibuufsfe
see,1,tff
singinga,1,tjohjohb
helplessly,1,ifmqmfttmz
dreaming,1,esfbnjoh
wanted,1,xboufe
making,1,nbljoh
likes,1,mjlft
gurgling,1,hvshmjoh
guns,1,hvot
clatters,1,dmbuufst
itching,1,judijoh
shouldnt,1,tipvmeou
begins,1,cfhjot
stools,1,tuppmt
true,1,usvf
criticizes,1,dsjujdjaft
